Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-01-15 01:30:12;2018-01-15 09:59:45;95%;8:29;;;0;670
2018-01-15 23:35:00;2018-01-16 07:04:52;86%;7:29;;;0;773
2018-01-17 00:06:33;2018-01-17 07:04:41;73%;6:58;;;0;5695
2018-01-17 23:46:28;2018-01-18 07:05:21;83%;7:18;;;0;4013
2018-01-18 23:29:49;2018-01-19 07:04:42;83%;7:34;;;0;5307
2018-01-21 23:19:19;2018-01-22 06:54:57;63%;7:35;;;0;4145
2018-01-22 22:55:39;2018-01-23 06:54:11;88%;7:58;;;0;15730
2018-01-23 23:32:57;2018-01-24 07:04:17;76%;7:31;;;0;4885
2018-01-25 00:34:56;2018-01-25 06:40:27;71%;6:05;;;0;5101
2018-01-26 00:05:08;2018-01-26 07:00:02;78%;6:54;;;0;6155
2018-01-26 23:54:05;2018-01-27 08:30:01;90%;8:35;;;0;2724
2018-01-28 02:47:22;2018-01-28 09:56:15;83%;7:08;;;0;0
2018-01-28 22:59:35;2018-01-29 06:58:51;82%;7:59;;;0;12466
2018-01-29 23:40:16;2018-01-30 07:00:24;80%;7:20;;;0;5156
2018-01-30 23:26:44;2018-01-31 06:59:31;75%;7:32;;;0;5600
2018-01-31 23:10:54;2018-02-01 07:00:13;74%;7:49;;;0;10152
2018-02-01 23:19:18;2018-02-02 07:00:40;77%;7:41;;;0;4949
2018-02-04 02:06:53;2018-02-04 08:25:26;57%;6:18;;;0;1119
2018-02-04 23:32:18;2018-02-05 06:59:25;89%;7:27;;;0;2151
2018-02-06 01:16:01;2018-02-06 07:00:09;70%;5:44;;;0;3731
2018-02-06 23:38:08;2018-02-07 06:59:19;76%;7:21;;;0;5151
2018-02-07 23:57:53;2018-02-08 07:00:06;67%;7:02;;;0;4145
2018-02-09 00:37:55;2018-02-09 07:00:42;64%;6:22;;;0;3962
2018-02-10 02:16:42;2018-02-10 10:00:17;79%;7:43;;;0;5960
2018-02-11 23:03:24;2018-02-12 07:00:34;95%;7:57;;;0;959
2018-02-12 23:10:02;2018-02-13 07:01:24;84%;7:51;;;0;2943
2018-02-13 22:43:25;2018-02-14 07:00:17;76%;8:16;;;0;6314
2018-02-14 22:31:10;2018-02-15 06:59:54;94%;8:28;;;0;3589
2018-02-15 22:18:05;2018-02-16 06:59:48;87%;8:41;;;0;10135
2018-02-18 03:28:14;2018-02-18 10:00:42;80%;6:32;;;0;5718
2018-02-18 23:26:54;2018-02-19 06:57:28;75%;7:30;;;0;7493
2018-02-19 23:16:05;2018-02-20 06:55:56;76%;7:39;;;0;3295
2018-02-20 23:13:58;2018-02-21 07:15:29;82%;8:01;;;0;14845
2018-02-21 23:04:24;2018-02-22 07:15:36;76%;8:11;;;0;6788
2018-02-22 22:18:32;2018-02-23 06:58:11;82%;8:39;;;0;4336
2018-02-25 21:37:18;2018-02-26 06:59:17;83%;9:21;;;0;1082
2018-02-26 22:16:35;2018-02-27 06:55:50;79%;8:39;;;0;5319
2018-02-27 21:45:22;2018-02-28 06:57:53;92%;9:12;;;0;12185
2018-02-28 23:25:31;2018-03-01 07:00:47;75%;7:35;;;0;5401
2018-03-01 22:53:42;2018-03-02 06:59:32;75%;8:05;;;0;3137
2018-03-10 23:06:21;2018-03-11 07:31:01;69%;7:24;;;0;1988
2018-03-11 23:22:04;2018-03-12 07:00:37;89%;7:38;;;0;3773
2018-03-12 22:59:15;2018-03-13 06:58:58;84%;7:59;;;0;3539
2018-03-13 23:05:28;2018-03-14 07:00:36;92%;7:55;;;0;4746
2018-03-14 23:10:26;2018-03-15 06:30:19;78%;7:19;;;0;4087
2018-03-15 23:15:07;2018-03-16 06:59:23;83%;7:44;;;0;4670
2018-03-17 22:12:10;2018-03-18 07:30:49;91%;9:18;;;0;1261
2018-03-19 00:10:02;2018-03-19 07:29:55;81%;7:19;;;0;2790
2018-03-19 23:49:52;2018-03-20 07:29:38;79%;7:39;;;0;3914
2018-03-20 23:34:25;2018-03-21 07:30:44;79%;7:56;;;0;3380
2018-03-21 22:32:40;2018-03-22 06:50:33;91%;8:17;;;0;3012
2018-03-23 00:41:58;2018-03-23 07:36:27;84%;6:54;;;0;4415
2018-03-24 00:04:15;2018-03-24 08:17:21;91%;8:13;;;0;3712
2018-03-25 01:52:19;2018-03-25 09:21:14;80%;7:28;;;0;4491
2018-03-25 23:23:13;2018-03-26 07:10:36;83%;7:47;;;0;1686
2018-03-26 22:56:26;2018-03-27 07:09:38;89%;8:13;;;0;4354
